Item Class;Item Class Name;Boundaries;Maintenance Strategy Overview;Scope;Parent Item Class;Other Associated Item Classes;Notes;Task Template ID;Definition;Application;Justification;Low Risk Frequency;Unit Low;Medium Risk Frequency;Unit Medium;High Risk Frequency;Unit High
PUCE;Pump Centrifugal;"Includes foundation bolts
Includes alignment shims
Includes impeller wear rings
Includes shaft sleeve
Includes mechanical seal flush system
Includes coupling guard
Includes baseplate
Includes coupling or V belt
Includes sealing system (API or not API)
Includes bulkhead stuffing box (seal)
Includes lubrication system
Excludes Electrical Motor HV/LV
Excludes Steam Turbines
Excludes Diesel Engine
Excludes hydraulic system
Excludes gearboxes
Excludes minimum flow control Valve";;;;;;;;;;;;;;;
PURO;Pump Rotary;"Includes mechanical seals
Includes shaft
Includes impeller
Includes casing
Includes gaskets
Includes o-rings
Includes baseplate
Includes alignment shims
Includes vibration dampeners
Includes coupling guards
Includes suction and discharge flanges
Includes lubrication fittings
Includes drain plugs
Includes coupling or belt
Excludes Electrical Motor HV/LV
Excludes Diesel Engine
Excludes hydraulic system
Excludes minimum flow control valve
Excludes External Pressure Safety Valve";;;;;;;;;;;;;;;
ICSS;ICSS (system);"Includes Internal communication cables
Includes Internal surge protection devices
Includes Internal diagnostic/test points
Includes Internal terminal blocks and connectors
Includes OS & AS Network
Includes PCS Servers and Clients
Includes FGS/ESD Servers and Clients
Includes ENG/MAINT & Operator System
Includes Packages & Marine Servers and Clients
Includes Offshore Installation Management & Production System
Excludes Power Supplies / UPS
Excludes Panel testing covered by Local Panel ICLC - ESTs";;;;;;;;;;;;;;;
PKHM;Heating Medium Boiler Package;"Includes burner assembly
Includes water level control system
Includes heat exchanger tubes
Includes instrumentation sensors
Includes insulation and refractory materials";;;;;;;;;;;;;;;
PKCR;CO2 Removal Package;"Includes instrumentation and control devices
Includes structural supports and skid frame
Includes electrical components
Includes insulation and lagging
Includes safety devices
Includes internal heat exchangers
Includes internal chemical injection systems
Includes internal monitoring and sampling points
Includes internal relief and vent systems
Includes internal drains and blowdowns
Includes internal access platforms and ladders";;;;;;;;;;;;;;;
PKDA;Deaeration Package;"Includes internal pressure relief devices
Includes internal piping and fittings
Includes internal insulation and lagging
Includes internal structural supports
Includes internal access platforms and ladders
Includes internal sample points
Includes internal chemical injection points
Includes internal corrosion monitoring probes
Includes internal gaskets and seals
Includes internal bolts and fasteners";;;;;;;;;;;;;;;
PKGS;Gas Sweetening Package;"Includes control system components
Includes internal heat exchangers
Includes internal safety devices
Includes internal insulation and lagging
Includes internal structural supports
Includes internal electrical wiring and connections";;;;;;;;;;;;;;;
PKGD;Gas Dehydration Package;"Includes internal desiccant beds
Includes internal regeneration heaters
Includes internal instrumentation sensors
Includes internal piping and connections
Includes internal pressure relief devices
Includes internal electrical components (e.g., wiring, terminals)";;;;;;;;;;;;;;;
HBEH;Electric Heater;"Includes insulation materials
Includes wiring and connections
Includes thermal fuses
Includes mounting brackets and supports
Includes earthing arrangements
Includes heating elements
Excludes any associated control panels";;;;;;;;;;;;;;;
NAAO;Light, Obstruction;"Includes internal wiring/cabling
Includes internal terminal blocks/connectors
Includes internal fuses/circuit breakers
Includes internal surge protection devices
Includes internal diagnostic/test points
Includes internal mounting hardware/brackets
Includes consideration of equipment EX inspection requirements
Excludes any associated distribution boards, control panels, which are all covered separately";;;;;;;;;;;;;;;
COIN;Nitrogen Intensifier;"Includes lubrication system
Includes seals and gaskets
Includes cooling system
Includes control system components
Includes Gas Booster
Excludes pressure control valves
Excludes pressure gauges";;;;;;;;;;;;;;;
EEBY;Battery;"Excludes UPS batteries
Excludes Batteries for starting Diesel Engine
Excludes GMDSS batteries
Excludes NAV AIDS batteries
Excludes Battery Charger
Excludes batteries in hand held portable equipment
Excludes UPS Battery Breaker";;;;;;;;;;;;;;;
IPRO;Flow Orifice;"Includes fasteners (e.g., bolts, nuts, studs)
Includes clamps and supports
Includes thermal insulation (if applicable)
Includes mounting assembly
Includes orifice housing assembly (where fitted)
Includes restriction orifice/housing, seals and gaskets
Excludes instruments/gauges (where fitted) indicating flow rate through orifice plates";;;;;;;;;;;;;;;
EELP;Control Panel;"Includes Internal power supplies
Includes Internal circuit breakers/fuses
Includes Internal PLC/controller modules
Includes Internal communication modules
Includes Internal wiring/cabling
Includes Internal surge protection devices
Includes Internal diagnostic/test points
Includes Cabinet enclosures and doors
Includes Earthing arrangements
Includes Internal terminal blocks, cable trays, trunking and connectors
Excludes Integral cooling fans, filters and grilles";;;;;;;;;;;;;;;
EEVD;Variable Frequency Drive;"Includes internal power supplies
Includes internal circuit breakers/fuses
Includes internal PLC/controller modules
Includes internal communication modules
Includes internal wiring/cabling
Includes internal surge protection devices
Includes internal diagnostic/test points
Includes cabinet enclosures and doors
Includes Earthing arrangements
Includes Internal terminal blocks, cable trays, trunking and connectors";;;;;;;;;;;;;;;
PMSY;Power Management System;"Includes internal power supplies
Includes internal circuit breakers/fuses
Includes internal PLC/controller modules
Includes internal communication modules
Includes internal wiring/cabling
Includes internal surge protection devices
Includes internal diagnostic/test points
Includes earthing arrangements
Includes cabinet enclosures and doors
Includes the enclosure of the system
Excludes PLC routers & data switches
Excludes switches/patching and cabling";;;;;;;;;;;;;;;
IPVS;Vibration Switch;"Includes internal wiring/cabling
Includes internal terminal blocks/connectors
Includes internal power supply
Includes internal diagnostic/test points
Includes mounting hardware/fasteners
Excludes signal processing (transmitter) circuitry";;;;;;;;;;;;;;;
UPSY;Ups System;"Includes internal cooling system
Includes internal monitoring/control system
Includes internal capacitors
Includes internal transformers
Includes internal fuses/circuit breakers
Includes internal wiring/cabling
Includes internal surge protection devices
Includes internal diagnostic/test points
Includes enclosure and internals
Includes Converter and Inverter
Excludes UPS batteries
Excludes UPS cabinet";;;;;;;;;;;;;;;
SGLV;Low voltager switch gear;"Includes Internal power supplies
Includes Internal wiring/cabling
Includes Internal surge protection devices
Includes Internal diagnostic/test points
Includes Busbar system
Includes Cables compartment and Connections
Includes Enclosure
Includes control and protection compartment plus Internal terminal blocks
Includes Switching gear
Excludes UPDP, UPS cabinet";;;;;;;;;;;;;;;
SGHA;HV Air Insulated Switchgear;"Includes Internal power supplies
Includes Internal surge protection devices
Includes Internal diagnostic/test points
Includes Busbar system
Includes Cables compartment and Connections
Includes Enclosure
Includes control and protection compartment plus Internal terminal blocks
Includes Switching gear
Excludes UPDP, UPS cabinet
Excludes SGLV Low Voltage Switch Gear";;;;;;;;;;;;;;;
PKRP;Gas Dewpointing & Refrigeration Package;"Includes skid-mounted instrumentation and controls
Includes skid-mounted structural supports
Includes skid-mounted insulation
Includes skid-mounted electrical connections
Includes skid earth bonding";;;;;;;;;;;;;;;
SEFT;Foam Tank;"Includes foam concentrate sampling point
Includes the tank, its fittings and its supporting structure
Includes integrity of local instrumentation
Excludes FM200 Storage tanks";;;;;;;;;;;;;;;
PRTH;Thruster;"Includes propeller
Includes shaft seal
Includes lubrication system
Includes foundation bolts
Includes hoses and fittings
Includes electrical connections
Includes protective covers
Includes anodes
Includes control system
Includes cooling system
Excludes HV motor
Excludes starter
Excludes compartment HVAC
Excludes HV switchgear";;;;;;;;;;;;;;;
EEMC;Motor Control Centre (MCC);"Includes Internal busbar connections and joints
Includes Internal control wiring and terminations
Includes Internal surge protection devices
Includes Internal diagnostic/test points
Includes MCC busbars, internal cabling and instrumentation
Includes MCC ventilation arrangements
Includes the MCC enclosure
Excludes motors and electrical devices fed from the MCC
Excludes Motor Starter / Controllers housed in the EESG (MHL)";;;;;;;;;;;;;;;
DRVS;Mechanical Variable Speed Gear;"Includes gear alignment monitoring system
Includes seal and gasket kits
Includes driver and driven coupling
Includes casing, shaft, gears, gaskets
Includes breather (when fitted)
Includes local instrumentation
Excludes heat exchangers from the lube oil system
Excludes Duplex oil filter
Excludes directional valve (WSR)
Excludes auxiliary lube oil pump";;;;;;;;;;;;;;;
PKPS;Power Generation Steam;"Excludes non-package supplied equipment and fuel and utility supplies etc 

This equipment type considers the package as a whole and not its components";;;;;;;;;;;;;;;
PKRF;Refrigeration Package;"Includes Refrigerant piping and connections
Includes Refrigerant charge
Includes Refrigerant oil system
Includes Package structural supports
Includes Package insulation
Includes Package instrumentation wiring
Includes Package control system components
Includes Package safety devices
Includes Package vibration isolators";;;;;;;;;;;;;;;
PKCC;Power Generation Combine Cycle Package;"Includes Internal combustion engine
Includes Heat recovery steam generator (HRSG)
Includes Condenser
Includes Control system
Includes Exhaust system
Includes Lubrication system
Includes Cooling system
Includes Fuel system
Includes Electrical distribution system
Includes Instrumentation and sensors
Includes Seals and gaskets
Includes Mounting and supports";;;;;;;;;;;;;;;
PKUP;Umbililical Pulling Package;"Includes Internal electrical wiring and connectors
Includes Internal mechanical seals and gaskets
Includes Internal lubrication points and grease fittings
Includes Internal structural supports and brackets
Includes Internal alignment mechanisms and guides
Includes Internal diagnostic and test ports";;;;;;;;;;;;;;;
PKMG;MEG Regeneration Package;"Includes Internal piping and tubing
Includes Internal instrumentation and control wiring
Includes Internal structural supports and brackets
Includes Internal insulation and lagging
Includes Internal gaskets and seals
Includes Internal heat exchangers
Includes Internal vessels and tanks
Includes Internal electrical components
Includes Internal safety devices";;;;;;;;;;;;;;;
PKPU;Hydraulic System Package;"Excludes non-package supplied equipment and fuel and utility supplies etc

This equipment type considers the package as a whole and not its components";;;;;;;;;;;;;;;
PKWS;Well Service Pump Package;"Includes Internal instrumentation and controls
Includes Internal electrical components
Includes Internal structural supports
Includes Internal lubrication system
Includes Internal cooling system
Includes Internal filtration system
Includes Internal safety devices
Includes Internal seals and gaskets
Includes Internal fasteners and connections";;;;;;;;;;;;;;;
PKCD;Chemical Injection / Distribution Package;"Includes Internal piping and tubing
Includes Internal electrical wiring and connections
Includes Internal control system components (e.g., PLC, HMI)
Includes Internal heating/cooling elements
Includes Internal seals and gaskets
Includes Internal structural supports and brackets";;;;;;;;;;;;;;;
PKTG;TEG Regeneration Package;"Excludes non-package supplied equipment and fuel and utility supplies etc

This equipment type considers the package as a whole and not its components";;;;;;;;;;;;;;;
PKWI;Water Injection Pump Package;"Includes Internal piping and connections
Includes Internal instrumentation and sensors
Includes Internal electrical components
Includes Internal lubrication system
Includes Internal cooling system
Includes Internal filtration system
Includes Internal pressure relief devices
Includes Internal structural supports and mounts
Includes Internal control system components
Excludes Water injection booster pumps";;;;;;;;;;;;;;;
PKPD;Power Generation Diesel;"Includes Exhaust system
Includes Governor
Includes Turbocharger
Excludes Electric Alternator";;;;;;;;;;;;;;;
PKPG;Power Generation Gas Turbine;"Includes Exhaust System
Includes Fuel System
Includes Control System
Includes Starting System
Includes Cooling System
Includes Fire and Gas Detection System
Excludes Electric Alternator
Excludes Gearbox";;;;;;;;;;;;;;;
PKGC;Gas Compression Package;"Includes seal gas system
Includes anti-surge system
Includes cooling system
Includes control system
Includes inlet filtration system
Includes discharge system
Includes vent and drain system
Includes safety interlocks
Includes all ancillaries
Excludes compressor";;;;;;;;;;;;;;;
PKLO;Lube Oil Package;"Excludes non-package supplied equipment and utility supplies etc.

This equipment type considers the lube oil package as a whole and not its components";;;;;;;;;;;;;;;
PKRC;Refrigeration Compressor Package;"Includes control system
Includes cooling system
Includes seal system
Includes instrumentation
Includes electrical connections
Includes structural supports
Includes all ancillaries
Excludes compressor
Excludes gearbox";;;;;;;;;;;;;;;
PKPW;Produced Water Treatment Package;"Includes Internal instrumentation and controls
Includes Internal electrical components
Includes Internal structural supports
Includes Internal access platforms and ladders
Includes Internal insulation and cladding
Includes Internal drains and vents
Includes Internal safety devices";;;;;;;;;;;;;;;
PKCI;Chemical Injection / Distribution Package;"Includes Internal piping and tubing
Includes Internal electrical components (wiring, terminals)
Includes Internal structural supports and brackets
Includes Internal insulation and heat tracing
Includes Internal pressure relief devices
Includes Internal mixing/blending equipment
Includes Internal control system components
Includes Internal sampling points
Includes Internal drain and vent lines
Includes Internal corrosion protection elements
Includes Internal gaskets and seals";;;;;;;;;;;;;;;
PTDT;Power Tansform Dry type;"Includes Internal busbars and connections
Includes Internal insulation materials
Includes Internal tap changers (if applicable)
Includes Internal surge arrestors
Includes local instrumentation
Includes Enclosure
Includes Internal windings";;;;;;;;;;;;;;;
HBDF;Direct Fired Heater;"Includes stack/damper assembly
Includes refractory lining
Includes ignition system
Includes heater casing
Includes tubes
Includes burners
Includes ductwork
Excludes fuel control valves";;;;;;;;;;;;;;;
SPSG;Sight Glass;Excludes sight glass isolation valves (if fitted);;;;;;;;;;;;;;;
SJLU;Swivel Lubrication unit;"Includes Lubrication reservoir
Includes Lubrication piping and hoses
Includes Lubrication seals and gaskets
Includes Lubrication heaters and coolers
Includes Lubrication instrumentation and control system
Excludes Electrical swivel
Excludes Fluid swivel";;;;;;;;;;;;;;;
WTSF;Fresh Water Sterilizer, Silver;"Includes silver ion electrodes
Includes power supply unit
Includes chemical injection lines
Includes instrumentation wiring
Includes silver ion steriliser
Includes local instrumentation
Excludes filter
Excludes pumps";;;;;;;;;;;;;;;
SPSI;Silencer;"Includes mounting brackets
Includes acoustic insulation material
Includes internal baffles or chambers
Includes inlet/outlet flanges
Includes drain plugs
Includes connection to the engine
Excludes engine";;;;;;;;;;;;;;;
ICLC;ICSS Local Control Panel;"Includes internal power supplies
Includes internal circuit breakers/fuses
Includes internal PLC/controller modules
Includes internal communication modules
Includes internal wiring/cabling
Includes internal surge protection devices
Includes internal diagnostic/test points
Includes Cabinet enclosures and weather shield
Includes Consideration of equipment Ex inspection requirements (where applicable)
Includes Purge system
Includes Internal terminal blocks, cable trays, trunking and connectors
Excludes HVAC systems in equipment rooms
Excludes ICSS Configuration and network functionality
Excludes external connections to the panel
Excludes Field instruments wired to the panels, these will be maintained as MHL
Excludes Cable trays and condition of cable external to the panel, these are to be maintained as MHL
Excludes HVAC systems in equipment rooms to be maintained as MHL
Excludes Any items covered in ICSS EMS";;;;;;;;;;;;;;;
AEGY;Galley Equipment;"Includes Dishwashing machines
Includes Waste disposal units
Includes Water supply and drainage connections
Includes Food Preparation
Includes Serving Equipment
Excludes Vent Systems associated with the Galley";;;;;;;;;;;;;;;
PKFR;Fresh Water Package;"Includes Instrumentation
Includes Evaporator
Includes Condenser
Includes Steam supply system
Includes Water intake system
Includes Drain system
Includes Alarm and shutdown devices
Includes Electrical power supply
Includes Cabling and connections
Includes Vents and drains
Includes Support structure and mounting
Excludes Heat exchanger (plate, tube, or PCHE)
Excludes Ejector pumps, hot water pumps, and fresh water pumps (centrifugal pumps)
Excludes Chemical dosing pumps
Excludes Fresh water generation by reverse osmosis (PKRO)";;;;;;;;;;;;;;;
PKAC;Air Compressor Package;"Includes Drains and Traps
Includes Vibration Isolators/Mounts
Includes Seals and Gaskets
Includes Belts and Pulleys
Includes Electrical Connections and Terminations
Includes Air Intake System
Includes Cooling System
Includes Lubrication system
Includes Enclosure
Excludes Control Panels
Excludes Driver (Diesel Engine / Electrical Motor)
Excludes Air-dryer
Excludes Pressure safety Valve
Excludes transmitters not categorized as MHL
Excludes valves not categorized as MHL";;;;;;;;;;;;;;;
WIWR;Winch, Rotary Drum;"Includes control system
Includes lubrication system
Includes foundation and mounting
Includes load cell or load sensor
Includes wire rope tensioning device
Includes drum shaft
Includes drum clutch or coupling
Includes drum seals
Includes drum lubrication points
Includes drum alignment system
Includes drum wear liners or pads
Includes drum corrosion protection
Includes drum heating or cooling system
Includes drum vibration dampers
Includes drum emergency stop system
Includes drum overload protection
Includes drum speed sensor
Includes drum torque limiter
Includes drum slip ring assembly
Includes drum electrical connections
Includes drum pneumatic connections
Includes drum instrumentation wiring
Includes drum heat exchangers
Includes drum insulation
Includes drum guards or covers
Includes drum access platforms
Includes drum lighting
Includes drum drainage system
Includes drum venting system
Includes drum cleaning system
Includes drum inspection ports
Includes drum maintenance tools
Includes drum spare parts storage
Includes drum documentation holder
Includes drum safety interlocks
Includes drum fire protection
Includes drum explosion-proofing
Includes drum environmental seals
Includes drum noise reduction features
Includes drum anti-rotation devices
Includes drum counterweights
Includes drum balancing system
Includes drum alignment pins
Includes drum fasteners
Includes drum gaskets
Includes drum o-rings
Includes drum bellows
Includes drum flexible couplings
Includes drum rigid couplings
Includes drum universal joints
Includes drum gear couplings
Includes drum chain drives
Includes drum belt drives
Includes drum direct drives
Includes drum variable speed drives
Includes drum soft starters
Includes drum frequency converters
Includes drum power supplies
Includes drum transformers
Includes drum circuit breakers
Includes drum fuses
Includes drum relays
Includes drum PLCs
Includes drum HMIs
Includes drum sensors
Includes drum actuators
Includes drum solenoids
Includes drum heaters
Includes drum coolers
Includes drum mixers
Includes drum tanks
Includes drum vessels
Includes drum pipes
Includes drum hoses
Includes drum fittings
Includes drum flanges
Includes drum elbows
Includes drum tees
Includes drum reducers
Includes drum expansions
Includes drum supports
Includes drum anchors
Includes drum guides
Includes drum rollers
Includes drum sheaves
Includes drum pulleys
Includes drum sprockets
Includes drum chains
Includes drum belts
Includes drum ropes
Includes drum cables
Includes drum wires
Includes drum strands
Includes drum fibers
Includes drum composites
Includes drum metals
Includes drum alloys
Includes drum plastics
Includes drum ceramics
Includes drum lubricants
Includes drum greases
Includes drum oils
Includes drum fluids
Includes drum gases
Includes drum vapors
Includes drum dusts
Includes drum particles
Includes drum contaminants
Includes drum impurities
Includes drum residues
Includes drum deposits
Includes drum scales
Includes drum rust
Includes drum corrosion
Includes drum erosion
Includes drum wear
Includes drum fatigue
Includes drum cracking
Includes drum breaking
Includes drum bending
Includes drum twisting
Includes drum stretching
Includes drum compressing
Includes drum heating
Includes drum cooling
Includes drum freezing
Includes drum melting
Includes drum evaporating
Includes drum condensing
Includes drum sublimating
Includes drum depositing
Includes drum crystallizing
Includes drum polymerizing
Includes drum degrading
Includes drum oxidizing
Includes drum reducing
Includes drum neutralizing
Includes drum acidifying
Includes drum basifying
Includes drum salting
Includes drum sweetening
Includes drum souring
Includes drum fermenting
Includes drum distilling
Includes drum extracting
Includes drum absorbing
Includes drum adsorbing
Includes drum ionizing
Includes drum radiating
Includes drum conducting
Includes drum insulating
Includes drum magnetic
Includes drum electric
Includes drum pneumatic
Includes drum mechanical
Includes drum thermal
Includes drum chemical
Includes drum biological
Includes drum environmental
Includes drum operational
Includes drum maintenance
Includes drum inspection
Includes drum testing
Includes drum calibration
Includes drum adjustment
Includes drum alignment
Includes drum balancing
Includes drum lubrication
Includes drum cleaning
Includes drum repairing
Includes drum replacing
Includes drum upgrading
Includes drum modifying
Includes drum decommissioning
Includes drum recommissioning
Includes drum storing
Includes drum transporting
Includes drum installing
Includes drum removing
Includes drum disposing
Includes drum recycling
Includes drum reusing
Includes drum refurbishing
Includes drum remanufacturing
Includes drum documenting
Includes drum reporting
Includes drum analyzing
Includes drum optimizing
Includes drum improving
Includes drum innovating
Includes drum
Includes wire rope and hook
Includes spooling system
Includes brakes and other safety equipment
Includes jacking system
Includes sheaves
Excludes motorisation (electric or hydraulic)
Excludes gearbox";;;;;;;;;;;;;;;
PKCF;Coarse Filtration Package;"Includes internal drain lines and sumps
Includes internal air vents and breathers
Includes internal pressure relief devices
Includes internal cable trays and wiring within the skid
Includes internal grounding and bonding connections
Includes internal lubrication systems for rotating assemblies
Includes internal alignment and coupling devices for backwash mechanisms
Includes internal vibration dampeners or isolators
Includes backwash mechanisms (internal backwash arms, suction nozzles, rotary assemblies)
Includes inlet, outlet, and bypass piping internal to the package skid
Includes internal supports, guide rails, retaining screens and basket holding frames
Excludes differential-pressure measurement devices directly associated with filter fouling detection (e.g., DP transmitters)
Excludes automatic control components embedded in the package skid (e.g., local HMI, local PLC panels) only when dedicated exclusively to the filter’s operation
Excludes upstream lifting pumps (e.g., seawater lift pumps) and downstream injection/booster pumps (different failure modes)
Excludes chemical dosing systems (e.g., hypochlorite, coagulant, scale inhibitor) not integral to the filter
Excludes main seawater distribution headers and external piping not mounted on the filter skid
Excludes instrumentation used for global process control but not dedicated to filter operation (e.g., flowmeters for system balancing)
Excludes electrical distribution boards, MCCs, UPS panels, and power supply networks external to the skid
Excludes central control systems (ICSS/PCS/ESD, remote logic, CCR-side controls)
Excludes structural platforms, walkways, ladders, handrails around the filter skid
Excludes cranes, davits, monorails, or lifting beams used to remove elements";;;;;;;;;;;;;;;
LFFB;Box, Fire Hose;"Includes hose box door/latch
Includes hose box internal brackets/fittings
Includes hose box signage/identification
Includes hose box internal lighting
Includes hose box internal seals/gaskets";;;;;;;;;;;;;;;
HYPU;Hydraulic Power Unit;"Includes seal leak detection sensors
Includes coupling alignment indicators
Includes coolers (air/oil or water/oil) when fitted on the HPU package
Includes tubing, small‑bore pipework and fittings
Includes electrical heaters
Excludes hydraulic solenoids
Excludes electric motor(s)
Excludes local starter/control panel
Excludes pressure/level/temperature switches and local transmitters
Excludes pressure accumulators not integrated into the HPU skid
Excludes power supplies external to the HPU package (MCC, UPS, distribution boards)
Excludes pressure safety elements and shutdown elements not part of the package
Excludes external hydraulic consumers (actuators, process valves, subsea/ topside control elements)
Excludes platform control systems (ICSS / PLC) and remote monitoring networks
Excludes structural items (skid frame, enclosure, doors, HVAC not part of the HPU skid)
Excludes transmitters not categorized as MHL
Excludes valves not categorized as MHL";;;;;;;;;;;;;;;
PKPP;Riser Pulling Package;"Includes Brake pads and linings
Includes Wire rope inspection points
Includes Structural welds and bolts
Includes Storage winch assembly for wire rope management
Includes Auxiliary winches (fore and aft) integral to the package
Includes Package skidding system and sea-fastening mechanisms where installed
Includes Mechanical supports and structural frame integral to the package
Includes Lubrication points and service fittings installed on winches and sheaves
Includes Locking devices, brake systems, clutches and load-holding mechanisms on winches
Includes Wire rope termination hardware (sockets, clamps, terminations) integral to the system
Excludes Hydraulic power unit (HPU)
Excludes Control panel / control cabin
Excludes Cranes, davits, padeyes, chain hoists or lifting beams not integral to the riser pulling package
Excludes Subsea risers, flexible pipes, umbilicals and TUTU/TUTA structures (external equipment)
Excludes Upstream anchors, chains, fairleads, and mooring winches
Excludes Hydraulic power units not dedicated to riser pulling (centralized plant systems)
Excludes ICSS/PCS/ESD systems and remote control room interfaces
Excludes MCCs, switchboards, UPS and external electrical distribution";;;;;;;;;;;;;;;
SJOP;Swivel Oil pressurisation unit;"Include oil reservoir and level indication devices (e.g., gauge glass/sight level)
Include local valves associated with the unit (isolation / changeover as applicable)
Include local instrumentation used for routine checks (e.g., pressure indication and filter clogging indicators).
Include hydraulic piping/tubing and associated fittings 
Include pressure and return filter assemblies (filter housings/bowls, elements, and seals).
Include flexible hydraulic hoses
Include pump suction strainer assemblies (strainer elements, strainer bowls, and associated seals)

Excludes Hydraulic Power Unit
Excludes Leak Recuperation System
Excludes System Seal Isolation
Excludes Special Valve
Excludes Positive Displacement Pump
Excludes Hydraulic Actuator";;;;;;;;;;;;;;;
PURE;Pump, Reciprocating;"Includes packing/seals
Includes connecting rods
Includes pistons/plungers
Includes pulsation dampener mounting hardware
Includes foundation bolts
Includes alignment shims
Includes coupling or belt
Excludes hydraulic system
Excludes Electrical Motor HV/LV
Excludes Diesel Engine
Excludes minimum flow control valve
Excludes Air-operated diaphragm pumps
Excludes Gearbox";;;;;;;;;;;;;;;
